Pavarde        Vardas           Galutinis(Vid)  Galutinis(Med)
Pavarde1       Vardas1                    4.00            4.40
Pavarde2       Vardas2                    4.16            4.40
Pavarde3       Vardas3                    3.16            3.00
Pavarde4       Vardas4                    3.88            4.20
Pavarde5       Vardas5                    3.40            3.00
Pavarde6       Vardas6                    4.40            4.00
Pavarde7       Vardas7                    4.76            5.00
Pavarde8       Vardas8                    6.08            6.40
Pavarde9       Vardas9                    7.96            8.60
Pavarde10      Vardas10                   5.08            5.00
Pavarde11      Vardas11                   7.04            7.20
Pavarde12      Vardas12                   8.00            8.40
Pavarde13      Vardas13                   4.92            5.00
Pavarde14      Vardas14                   9.04            9.20
Pavarde15      Vardas15                   4.88            5.60
Pavarde16      Vardas16                   6.60            6.20
Pavarde17      Vardas17                   3.36            3.20
Pavarde18      Vardas18                   3.28            3.60
Pavarde19      Vardas19                   9.52            9.60
Pavarde20      Vardas20                   9.20            9.60
Pavarde21      Vardas21                   6.56            6.80
Pavarde22      Vardas22                   3.84            4.40
Pavarde23      Vardas23                   5.64            5.00
Pavarde24      Vardas24                   6.40            6.00
Pavarde25      Vardas25                   7.52            7.60
Pavarde26      Vardas26                   2.28            1.80
Pavarde27      Vardas27                   5.48            5.80
Pavarde28      Vardas28                   2.76            1.80
Pavarde29      Vardas29                   5.08            4.60
Pavarde30      Vardas30                   4.32            4.80
Pavarde31      Vardas31                   4.04            4.20
Pavarde32      Vardas32                   8.16            8.40
Pavarde33      Vardas33                   5.76            5.60
Pavarde34      Vardas34                   3.64            3.40
Pavarde35      Vardas35                   6.72            7.20
Pavarde36      Vardas36                   5.28            6.00
Pavarde37      Vardas37                   4.92            5.00
Pavarde38      Vardas38                   3.60            4.40
Pavarde39      Vardas39                   3.56            3.40
Pavarde40      Vardas40                   7.20            7.20
Pavarde41      Vardas41                   2.96            2.80
Pavarde42      Vardas42                   6.20            5.40
Pavarde43      Vardas43                   8.52            9.00
Pavarde44      Vardas44                   3.72            3.80
Pavarde45      Vardas45                   3.28            3.20
Pavarde46      Vardas46                   3.16            3.40
Pavarde47      Vardas47                   6.48            6.00
Pavarde48      Vardas48                   6.56            6.00
Pavarde49      Vardas49                   3.40            2.20
Pavarde50      Vardas50                   7.60            8.40
Pavarde51      Vardas51                   2.44            1.80
Pavarde52      Vardas52                   4.96            4.80
Pavarde53      Vardas53                   8.24            8.40
Pavarde54      Vardas54                   6.24            6.40
Pavarde55      Vardas55                   4.12            4.60
Pavarde56      Vardas56                   5.88            5.80
Pavarde57      Vardas57                   4.56            4.40
Pavarde58      Vardas58                   7.32            6.60
Pavarde59      Vardas59                   4.36            4.20
Pavarde60      Vardas60                   4.36            3.80
Pavarde61      Vardas61                   2.44            2.20
Pavarde62      Vardas62                   6.48            6.80
Pavarde63      Vardas63                   6.36            6.60
Pavarde64      Vardas64                   4.04            3.80
Pavarde65      Vardas65                   3.20            3.60
Pavarde66      Vardas66                   4.28            4.20
Pavarde67      Vardas67                   5.04            4.80
Pavarde68      Vardas68                   4.48            5.20
Pavarde69      Vardas69                   4.56            4.40
Pavarde70      Vardas70                   4.32            4.00
Pavarde71      Vardas71                   3.32            3.40
Pavarde72      Vardas72                   8.16            8.40
Pavarde73      Vardas73                   3.36            2.80
Pavarde74      Vardas74                   5.72            5.40
Pavarde75      Vardas75                   4.20            4.20
Pavarde76      Vardas76                   5.32            5.00
Pavarde77      Vardas77                   5.88            5.80
Pavarde78      Vardas78                   6.92            7.00
Pavarde79      Vardas79                   2.92            3.40
Pavarde80      Vardas80                   7.80            8.60
Pavarde81      Vardas81                   3.44            3.20
Pavarde82      Vardas82                   5.28            4.80
Pavarde83      Vardas83                   7.36            6.80
Pavarde84      Vardas84                   9.12            9.20
Pavarde85      Vardas85                   8.00            8.00
Pavarde86      Vardas86                   5.60            4.80
Pavarde87      Vardas87                   3.92            4.40
Pavarde88      Vardas88                   3.72            3.00
Pavarde89      Vardas89                   6.64            6.80
Pavarde90      Vardas90                   2.60            3.00
Pavarde91      Vardas91                   3.20            3.20
Pavarde92      Vardas92                   8.56            9.20
Pavarde93      Vardas93                   6.08            6.00
Pavarde94      Vardas94                   5.12            5.20
Pavarde95      Vardas95                   3.64            3.40
Pavarde96      Vardas96                   8.52            8.60
Pavarde97      Vardas97                   2.68            3.00
Pavarde98      Vardas98                   7.76            7.60
Pavarde99      Vardas99                   4.60            4.60
Pavarde100     Vardas100                  5.64            6.60
Pavarde101     Vardas101                  7.68            8.00
Pavarde102     Vardas102                  7.16            7.00
Pavarde103     Vardas103                  7.88            8.20
Pavarde104     Vardas104                  2.56            2.40
Pavarde105     Vardas105                  5.36            5.20
Pavarde106     Vardas106                  2.88            2.80
Pavarde107     Vardas107                  3.48            4.20
Pavarde108     Vardas108                  4.88            4.80
Pavarde109     Vardas109                  2.48            2.80
Pavarde110     Vardas110                  3.92            4.80
Pavarde111     Vardas111                  3.72            3.80
Pavarde112     Vardas112                  7.04            6.80
Pavarde113     Vardas113                  3.76            4.00
Pavarde114     Vardas114                  3.00            3.00
Pavarde115     Vardas115                  2.80            2.00
Pavarde116     Vardas116                  6.76            6.60
Pavarde117     Vardas117                  2.88            2.80
Pavarde118     Vardas118                  4.96            5.20
Pavarde119     Vardas119                  7.32            7.40
Pavarde120     Vardas120                  4.60            4.60
Pavarde121     Vardas121                  6.92            6.60
Pavarde122     Vardas122                  4.52            4.60
Pavarde123     Vardas123                  7.60            8.00
Pavarde124     Vardas124                  8.68            9.00
Pavarde125     Vardas125                  7.36            8.00
Pavarde126     Vardas126                  3.56            3.40
Pavarde127     Vardas127                  5.20            5.20
Pavarde128     Vardas128                  4.96            4.40
Pavarde129     Vardas129                  3.40            3.40
Pavarde130     Vardas130                  8.16            8.00
Pavarde131     Vardas131                  7.56            7.80
Pavarde132     Vardas132                  6.72            6.80
Pavarde133     Vardas133                  5.44            5.20
Pavarde134     Vardas134                  6.40            6.00
Pavarde135     Vardas135                  3.36            3.60
Pavarde136     Vardas136                  3.40            3.80
Pavarde137     Vardas137                  7.28            7.60
Pavarde138     Vardas138                  6.92            7.40
Pavarde139     Vardas139                  5.40            5.40
Pavarde140     Vardas140                  5.28            5.20
Pavarde141     Vardas141                  6.52            7.00
Pavarde142     Vardas142                  4.24            3.60
Pavarde143     Vardas143                  5.16            5.00
Pavarde144     Vardas144                  7.08            7.40
Pavarde145     Vardas145                  4.00            4.40
Pavarde146     Vardas146                  5.32            5.40
Pavarde147     Vardas147                  5.24            5.00
Pavarde148     Vardas148                  2.84            3.40
Pavarde149     Vardas149                  4.88            4.80
Pavarde150     Vardas150                  4.52            4.20
Pavarde151     Vardas151                  7.44            8.40
Pavarde152     Vardas152                  6.60            6.60
Pavarde153     Vardas153                  5.40            5.80
Pavarde154     Vardas154                  9.04            9.60
Pavarde155     Vardas155                  3.08            2.60
Pavarde156     Vardas156                  3.24            3.40
Pavarde157     Vardas157                  3.88            4.20
Pavarde158     Vardas158                  2.48            2.00
Pavarde159     Vardas159                  6.96            7.20
Pavarde160     Vardas160                  6.72            6.80
Pavarde161     Vardas161                  5.40            6.60
Pavarde162     Vardas162                  4.16            3.20
Pavarde163     Vardas163                  3.48            3.00
Pavarde164     Vardas164                  5.20            4.80
Pavarde165     Vardas165                  7.84            8.00
Pavarde166     Vardas166                  6.44            6.20
Pavarde167     Vardas167                  2.76            3.00
Pavarde168     Vardas168                  2.60            2.60
Pavarde169     Vardas169                  6.48            6.80
Pavarde170     Vardas170                  5.20            4.80
Pavarde171     Vardas171                  4.36            4.60
Pavarde172     Vardas172                  3.76            3.20
Pavarde173     Vardas173                  5.24            4.60
Pavarde174     Vardas174                  5.52            5.60
Pavarde175     Vardas175                  6.08            6.00
Pavarde176     Vardas176                  5.00            5.00
Pavarde177     Vardas177                  2.52            2.20
Pavarde178     Vardas178                  3.28            3.60
Pavarde179     Vardas179                  6.68            7.00
Pavarde180     Vardas180                  3.40            3.80
Pavarde181     Vardas181                  3.92            4.00
Pavarde182     Vardas182                  7.16            7.80
Pavarde183     Vardas183                  5.88            5.80
Pavarde184     Vardas184                  3.48            3.40
Pavarde185     Vardas185                  7.08            6.60
Pavarde186     Vardas186                  4.08            3.60
Pavarde187     Vardas187                  4.08            3.60
Pavarde188     Vardas188                  6.84            6.60
Pavarde189     Vardas189                  5.76            5.60
Pavarde190     Vardas190                  5.36            4.80
Pavarde191     Vardas191                  3.96            3.80
Pavarde192     Vardas192                  4.80            5.20
Pavarde193     Vardas193                  8.48            8.40
Pavarde194     Vardas194                  7.88            7.80
Pavarde195     Vardas195                  8.40            8.80
Pavarde196     Vardas196                  3.24            3.00
Pavarde197     Vardas197                  4.80            4.40
Pavarde198     Vardas198                  3.64            3.40
Pavarde199     Vardas199                  3.20            3.20
Pavarde200     Vardas200                  3.72            3.80
Pavarde201     Vardas201                  6.64            6.00
Pavarde202     Vardas202                  7.24            6.60
Pavarde203     Vardas203                  7.96            8.20
Pavarde204     Vardas204                  5.80            6.20
